Id,Quantity,Designator,Package,Designation
5,2,"C2,C1",C_0805,18pF
3,4,"C3,C6,C5,C8",C_0805,100nF
4,1,C7,C_0805,"4,7nF"
21,1,C9,C_1206,"100µF/6,3V VS"
14,1,D1,D_SOD323,1N4148WS (SOD323)
16,1,D2,D_SOT143,SEMTECH SR05
15,1,F1,R_1812,FUSE
18,1,H1,HOLE_2.5mm,HOLE
12,1,J1,HEADER_10x2,CONN_10X2
20,1,J2,HEADER_7x2,CONN_7X2
9,1,J3,HEADER_3x2,CONN-ISP-6
2,4,"J6,J8,J7,J5",WAGO243,CONN_1
6,1,L1,L_0805,10µH
19,1,LOGO1,Symbol_OSHW-Logo_SilkScreen,Open Hardware
10,3,"R4,R2,R3",R_0805,100
13,3,"R6,R5,R1",R_0805,10k
1,1,U1,TQFP-32_7x7mm_Pitch0.8mm,ATMEGA328-TQFP32
17,1,U2,CRY_HC49_SMD,"7,3728MHz"
11,1,U3,SO8E,25LC256
7,1,U4,SO8E,MAX487ECSA
8,1,U5,AM1S-XXXX_SIL4,AM1S-2405
