Id,Quantity,Designator,Package,Designation
9,1,C1,C_0805,"4,7nF"
10,2,"C2,C3",C_0805,18pF
6,3,"C5,C7,C4",C_0805,100nF
22,1,C6,C_1206,"100µF/6,3V VS"
7,1,D1,D_SOD323,1N4148WS (SOD323)
3,1,D2,D_SOT143,SEMTECH_SR05
23,1,F1,R_1206,FUSE
14,1,H1,HOLE_2.5mm,HOLE
11,2,"HOLE_2.5mm,HOLE_2.5mm",HOLE_2.5mm,VAL**
15,2,"J2,J1",HEADER_5x2,CONN_5X2
13,1,J3,HEADER_3x2,CONN-ISP-6
1,4,"J6,J5,J4,J7",WAGO243,CONN_1
12,1,LOGO1,Symbol_OSHW-Logo_SilkScreen,OSHW
5,3,"R2,R3,R4",R_0805,100
8,3,"R5,R6,R1",R_0805,10k
21,1,R7,R400,Varistor
19,2,"REF**,REF**",Perforation_5mm,Perforation_5mm
20,2,"REF**,REF**",Perforation_4mm,Perforation_4mm
4,1,U1,CRY_HC49_SMD,"7,3728MHz"
18,1,U2,SO8E,25LCXXX
2,1,U3,SO20L,ATTINY1634-SOIC
16,1,U4,SO8E,MAX3485
17,1,U5,AM1S-XXXX_SIL4,AM1S-2405
