"Id";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Ref";
1;"U1";"AM1S-XXXX_SIL4";1;"AM1S-2405";;;
2;"J1,J6";"WAGO243";2;"WAGO 243-723";;;
3;"J2,J7";"WAGO243";2;"WAGO 243-724";;;
4;"J3,J8";"WAGO243";2;"WAGO 243-721";;;
5;"J4,J9";"WAGO243";2;"WAGO 243-722";;;
6;"C1";"C_0805";1;"100µF/6V";;;
7;"C2,C5,C7";"C_0805";3;"100nF";;;
8;"C3,C4";"C_0805";2;"18pF";;;
9;"C6";"C_0805";1;"4,7nF";;;
10;"D1,D3";"D_SOT143";2;"SEMTECH_SR05";;;
11;"D2";"D_SOD323";1;"1N4148";;;
12;"F1";"R_1206";1;"0,15A";;;
13;"J5";"HEADER_3x2";1;"CONN-ISP-6";;;
14;"R1";"R_RM10.16mm";1;"Varistor";;;
15;"R2";"R_0805";1;"10k";;;
16;"R3,R4";"R_0805";2;"100";;;
17;"U2,U5";"SO8E";2;"MAX487";;;
18;"U3";"CRY_HC49_SMD";1;"7.3728MHz";;;
19;"U4";"SO20L";1;"ATTINY1634-SOIC";;;
20;"LOGO1";"Symbol_OSHW-Logo_Copper";1;"OPEN_HARDWARE_1";;;
21;"J10";"Testpoint_1mm";1;"tp_vcc";;;
22;"J11";"Testpoint_1mm";1;"tp_gnd";;;
23;"J12";"Testpoint_1mm";1;"tp_txd0";;;
24;"J13";"Testpoint_1mm";1;"tp_rxd0";;;
25;"J14";"Testpoint_1mm";1;"tp_txden0";;;
26;"J15";"Testpoint_1mm";1;"tp_reset";;;
27;"J16";"Testpoint_1mm";1;"tp_txd1_mosi";;;
28;"J17";"Testpoint_1mm";1;"tp_rxd1_miso";;;
29;"J18";"Testpoint_1mm";1;"tp_sck";;;
30;"J19";"Testpoint_1mm";1;"tp_txden1";;;
