"Id";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Ref";
1;"J7";"WAGO_243";1;"WAGO 243-722";;;
2;"J6";"WAGO_243";1;"WAGO 243-721";;;
3;"J5";"WAGO_243";1;"WAGO 243-724";;;
4;"J4";"WAGO_243";1;"WAGO 243-723";;;
5;"U2";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA328-TQFP32";;;
6;"D1,D2";"D_SOD323";2;"1N4148";;;
7;"U1";"SO8E";1;"25LC256";;;
8;"U4";"SO8E";1;"MAX487ECSA";;;
9;"REL2,REL1";"finder_34.51_1xUM";2;"FINDER_34.51.7.024";;;
10;"U5";"AM1S-XXXX_SIL4";1;"AM1S-2405";;;
11;"LOGO2";"Symbol_OSHW-Logo_SilkScreen";1;"Open Hardware";;;
12;"Q2,Q1";"SOT23-3";2;"BSS138";;;
13;"LOGO1";"Symbol_OSHW-Logo_Copper";1;"OPEN_HARDWARE_1";;;
14;"F1";"R_1812";1;"FUSE";;;
15;"J3";"HEADER_3x2";1;"CONN-ISP-6";;;
16;"U3";"CRY_HC49_SMD";1;"7,3728MHz";;;
17;"R3,R4,R9,R10,R11";"R_0805";5;"100";;;
18;"R1,R8,R12,R13,R2";"R_0805";5;"10k";;;
19;"R5,R6,R7";"R_0805";3;"4k7";;;
20;"C1,C2,C8";"C_0805";3;"100nF";;;
21;"C4,C5";"C_0805";2;"18pF";;;
22;"C6";"C_0805";1;"4,7nF";;;
23;"D3";"D_MINIMELF";1;"ZD5V6";;;
24;"D4,D5,D6";"SOT23-3";3;"BAT54S";;;
25;"J1";"WAGO_2081-1123";1;"WAGO 2081-1123";;;
26;"J2";"WAGO_233-6";1;"WAGO 233-506";;;
27;"D10";"D_SOT143";1;"SEMTECH SR05";;;
28;"H2,H1";"HOLE_2.5mm_wo_Copper";2;"HOLE";;;
29;"C7";"C_1206";1;"100µF / 6V";;;
